# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_00_model
# start_datetime = 2023-03-29 00:38:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.data.json
# init = 2 (Default)
# random
#   seed = 8
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.output8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma
# Adaptation terminated
# Step size = 0.0595231
# Diagonal elements of inverse mass matrix:
# 0.562141, 0.00371365, 0.0842861, 0.0834005, 0.0855784, 0.105915, 0.0115382, 0.0291902, 0.0073585, 0.0010582
-511.547,0.999779,0.0595231,6,63,0,514.988,0.970535,0.826595,-1.08341,-0.451507,-0.483768,-0.666629,0.33708,-0.303019,0.158004,1.79736
-512.521,0.880173,0.0595231,5,39,0,515.568,0.870184,0.794323,-1.03944,-0.446634,-0.762238,-0.251639,0.246599,-0.210768,0.174261,1.80594
-512.189,0.99045,0.0595231,6,63,0,517.545,1.49013,0.755103,-1.12227,-0.540266,-0.589601,-0.291553,0.179605,-0.370558,0.267102,1.88321
-512.956,0.984667,0.0595231,6,63,0,516.916,1.69206,0.739528,-1.25116,-0.429743,-0.703817,-0.256288,0.205757,-0.490391,0.284794,1.85466
-511.011,0.996581,0.0595231,5,31,0,514.569,1.4093,0.782597,-1.27688,-0.210503,-0.691103,-0.474501,0.200939,-0.294071,0.252313,1.8591
-511.993,0.999333,0.0595231,6,63,0,515.483,0.635261,0.775026,-1.1202,-0.857854,-0.91718,-0.732584,0.456138,0.0283628,0.14629,1.78341
-512.967,0.939914,0.0595231,6,63,0,516.699,0.894416,0.883034,-1.51097,-0.39523,-0.842951,-0.662429,0.298481,-0.0633104,0.220446,1.72017
-511.953,0.999847,0.0595231,6,63,0,517.493,0.907152,0.856555,-1.28344,-0.310191,-0.707621,-0.722944,0.342075,-0.0592802,0.0957861,1.80442
