# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_00_model
# start_datetime = 2023-03-29 00:38:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.data.json
# init = 2 (Default)
# random
#   seed = 3
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.output3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma
# Adaptation terminated
# Step size = 0.06089
# Diagonal elements of inverse mass matrix:
# 0.565452, 0.00368407, 0.0833757, 0.0886044, 0.0893084, 0.109334, 0.0113265, 0.0292175, 0.00746956, 0.00113478
-512.483,0.988993,0.06089,6,63,0,514.978,0.430203,0.846479,-1.30636,-0.0345288,-0.407722,0.0619548,0.150799,0.0356826,0.256167,1.72854
-512.241,0.999992,0.06089,5,31,0,514.012,0.573818,0.847893,-1.22308,-0.0688621,-0.294691,-0.109381,0.122832,0.0556314,0.229142,1.69932
-512.982,0.975324,0.06089,6,63,0,518.965,1.18772,0.769071,-1.48646,-0.276659,-0.257184,-0.143215,0.260978,-0.113975,0.21471,1.88559
-512.624,0.991009,0.06089,6,63,0,517.509,1.19177,0.818703,-1.19017,0.00711277,-0.580232,-0.456469,0.267463,-0.145641,0.0589757,1.81634
-511.559,0.999689,0.06089,6,63,0,514.644,1.90601,0.694831,-1.31268,-0.365071,-0.904413,-0.598395,0.174853,-0.292302,0.306909,1.75687
-511.896,0.993141,0.06089,6,63,0,515.935,1.2489,0.824327,-1.1984,-0.562689,-0.95324,-1.07204,0.242407,-0.0391758,0.112627,1.82046
-511.989,0.95365,0.06089,6,63,0,515.642,1.22007,0.814666,-1.14953,-0.441703,-0.742371,-1.03707,0.182884,-0.121098,0.16327,1.80312
-513.011,1,0.06089,5,63,0,518.596,1.02039,0.926377,-1.39072,-1.00129,-1.05975,-0.997684,0.197927,-0.0165769,0.214111,1.77784
-520.501,0.905649,0.06089,6,63,0,526.235,-0.104365,0.676837,-0.814625,0.0105961,-0.133853,-0.485402,0.341152,-0.12277,0.405217,1.79455
-512.492,1,0.06089,5,31,0,523.518,0.0330099,0.750632,-0.796143,-0.0715498,-0.525312,0.16413,0.406096,-0.0419256,0.126807,1.78873
-511.677,0.855753,0.06089,6,63,0,519.43,-0.0333925,0.770215,-0.841346,-0.138468,-0.511896,0.0526485,0.399815,-0.0276509,0.133785,1.77576
-512.537,0.988154,0.06089,6,63,0,516.603,-0.308065,0.71494,-0.689836,-0.11501,-0.457971,-0.00910874,0.425558,0.00835512,0.196023,1.76276
-512.933,0.980905,0.06089,6,63,0,516.163,1.62385,0.85199,-1.49101,-0.229426,-0.755674,-0.387425,0.111063,-0.138117,0.200435,1.8218
-516.515,0.980125,0.06089,5,31,0,521.625,0.970442,0.853715,-1.4596,0.0480339,0.0122522,-0.35037,0.0748237,-0.0314058,0.213276,1.72795
-512.406,0.899502,0.06089,5,31,0,520.211,0.700126,0.837318,-1.47338,-0.125482,-0.235439,-0.154085,0.204533,-0.111486,0.261071,1.7508
-514.625,0.876365,0.06089,6,63,0,518.722,0.981211,0.694708,-0.48174,-0.30124,-0.759474,-0.545542,0.19413,-0.233145,0.252366,1.82491
-510.786,0.999427,0.06089,6,63,0,516.364,0.612509,0.816385,-0.951606,-0.649976,-0.745486,-0.517632,0.227778,-0.149342,0.334036,1.74151
-514.076,0.999796,0.06089,6,63,0,517.414,0.204968,0.833893,-0.824348,-0.271662,-0.230216,-0.485057,0.351259,-0.183566,0.0888896,1.85753
-513.189,0.919053,0.06089,6,63,0,520.257,0.202306,0.731009,-0.886928,-0.412201,-0.350731,-0.280257,0.201781,-0.0578283,0.391233,1.73523
-515.494,0.895407,0.06089,6,63,0,520.831,-0.143655,0.883936,-0.887569,-0.428443,-0.927622,-0.404879,0.440819,0.133765,0.0716536,1.73948
-513.603,0.996837,0.06089,6,127,0,519.205,-0.222076,0.815745,-0.853424,-0.2573,-0.388291,-0.326959,0.509064,-0.0278994,0.108565,1.70466
-512.321,0.986753,0.06089,6,63,0,516.263,0.318854,0.807512,-0.845384,-0.354762,-0.647067,-0.233053,0.0880462,-0.0365482,0.349305,1.88098
-511.765,0.999149,0.06089,6,63,0,515.661,0.0191036,0.767926,-0.706944,0.130628,-0.23791,0.0713216,0.322632,-0.145586,0.204296,1.72181
-512.393,0.997955,0.06089,6,127,0,515.146,-0.218456,0.847364,-1.02993,-0.585973,-0.795336,-0.300299,0.283704,0.212717,0.259953,1.87241
-514.409,0.998801,0.06089,6,63,0,518.926,1.24309,0.720487,-1.24534,-0.141128,-0.35298,0.160418,0.326884,-0.424441,0.239316,1.71764
