# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_00_model
# start_datetime = 2023-03-29 00:38:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.data.json
# init = 2 (Default)
# random
#   seed = 2
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma
# Adaptation terminated
# Step size = 0.0654275
# Diagonal elements of inverse mass matrix:
# 0.541111, 0.00369749, 0.0821866, 0.0862364, 0.0868581, 0.108004, 0.0112469, 0.0293275, 0.00763918, 0.00109245
-516.697,0.974393,0.0654275,6,63,0,518.755,1.56232,0.854921,-1.31348,-0.568938,-0.324031,-0.248767,0.20756,-0.502827,0.175466,1.75385
-513.067,0.968976,0.0654275,6,63,0,522.534,2.02961,0.631073,-1.1738,-0.616068,-0.73716,-0.62788,0.206717,-0.0941246,0.158732,1.76315
-515.254,0.926509,0.0654275,6,63,0,518.065,1.08379,0.926258,-1.50497,-0.500389,-0.58099,-0.809115,0.299625,-0.309219,0.196666,1.80298
-510.857,0.969293,0.0654275,6,63,0,519.608,1.61907,0.815908,-1.36582,-0.425598,-0.737804,-0.828241,0.170899,-0.335989,0.240005,1.78919
-510.387,0.999096,0.0654275,5,63,0,515.251,1.09802,0.815964,-1.09617,-0.625214,-0.776803,-0.380507,0.316429,-0.313414,0.185222,1.81958
-514.408,0.989985,0.0654275,5,31,0,517.737,-0.0879949,0.784802,-0.993769,-0.366564,-0.700621,-0.158804,0.480448,-0.294264,0.318909,1.8412
-519.195,0.99857,0.0654275,6,63,0,526.58,0.763685,0.760621,-1.01696,-0.381184,-0.560672,-0.16574,-0.0461297,0.240635,0.369032,1.976
-518.284,0.930591,0.0654275,6,63,0,524.756,1.13857,0.761678,-0.990677,-0.462144,-0.602774,-0.306445,0.43694,-0.318122,-0.00940729,1.64598
