# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 7
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.456051
# Diagonal elements of inverse mass matrix:
# 0.824661, 5.88817, 0.00367068, 0.0258962, 0.00114543
-1469.5,1,0.456051,3,7,0,1471.24,87.2634,7.99632,0.604119,-0.444804,17.387
-1468.23,0.986489,0.456051,3,7,0,1471.7,87.5904,2.95556,0.555215,-0.216736,17.401
-1468.24,0.993456,0.456051,3,15,0,1469.48,87.6578,3.57282,0.662143,-0.699851,18.119
-1467.01,0.987227,0.456051,2,3,0,1468.84,87.4263,3.90845,0.621428,-0.62238,17.8783
-1468.09,0.858164,0.456051,3,7,0,1473.23,86.9761,2.34751,0.606066,-0.69319,18.6718
-1468.38,0.955911,0.456051,3,15,0,1471.07,86.7391,3.35655,0.601258,-0.271268,16.993
-1469.02,0.914195,0.456051,3,7,0,1471.69,87.4457,3.41977,0.48239,-0.500883,19.1018
-1466.4,0.994486,0.456051,2,7,0,1469.28,88.064,2.59378,0.547515,-0.447313,18.1624
-1467.77,0.952581,0.456051,3,7,0,1468.8,87.3679,0.347007,0.535836,-0.630045,18.4639
-1470.7,0.847718,0.456051,3,7,0,1472.3,88.5809,-2.47791,0.574686,-0.466266,18.8347
-1473.39,0.935545,0.456051,3,7,0,1476.08,85.7807,8.35115,0.531203,-0.585666,18.9262
-1472.99,0.997204,0.456051,3,7,0,1477.81,89.9704,-2.26216,0.647585,-0.517413,17.2602
-1467.9,1,0.456051,2,3,0,1473.44,89.2312,1.25692,0.638226,-0.692021,18.0348
-1469.12,0.913205,0.456051,4,15,0,1473.29,87.9151,7.95199,0.487915,-0.337534,18.5281
-1466.09,0.965331,0.456051,3,7,0,1470.72,87.9094,1.42419,0.592257,-0.522359,18.0932
-1466.54,0.90237,0.456051,2,7,0,1469,88.5451,2.82377,0.617586,-0.489192,17.8002
