# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 5
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.497473
# Diagonal elements of inverse mass matrix:
# 0.832149, 5.785, 0.0037161, 0.0267356, 0.00109859
-1468.38,0.999333,0.497473,3,7,0,1471.59,88.3898,1.49648,0.50484,-0.380831,18.0532
-1466.28,0.999248,0.497473,3,7,0,1468.72,87.2085,2.76222,0.55016,-0.522148,17.8187
-1468.37,0.8974,0.497473,2,7,0,1468.79,89.3729,2.63154,0.606505,-0.41825,18.2288
-1468.38,0.978832,0.497473,3,7,0,1470.24,86.7516,-0.75809,0.617894,-0.700438,18.2479
-1470.25,0.933363,0.497473,2,3,0,1470.76,86.3908,-2.73732,0.625099,-0.617742,18.5547
-1469.15,0.963726,0.497473,3,7,0,1474.67,88.1593,5.85424,0.680519,-0.362634,18.3738
-1468.68,0.875795,0.497473,3,7,0,1473.8,87.4397,2.93939,0.674958,-0.2245,18.3095
-1467.89,0.985379,0.497473,3,7,0,1471.05,86.4057,2.91421,0.589371,-0.519,17.173
-1466.78,0.956205,0.497473,3,7,0,1469.79,87.9602,2.43064,0.583918,-0.672814,18.3174
-1467.29,0.969778,0.497473,3,7,0,1469.23,87.1581,5.58146,0.560056,-0.226758,17.7617
-1465.99,0.99528,0.497473,4,15,0,1467.74,87.2486,3.40106,0.582917,-0.475457,17.7826
-1466.33,0.911899,0.497473,2,7,0,1468.26,87.658,3.9944,0.590399,-0.344222,18.1027
