# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 9
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.418371
# Diagonal elements of inverse mass matrix:
# 0.830938, 5.94642, 0.00364418, 0.0269868, 0.00114754
-1467.14,1,0.418371,3,7,0,1468.25,88.2872,3.27534,0.649388,-0.453719,17.476
-1468.1,0.957028,0.418371,3,7,0,1469.78,88.8321,3.5461,0.545464,-0.691652,18.4961
-1466.29,0.986467,0.418371,3,7,0,1469.27,87.4414,2.69537,0.596575,-0.495091,17.3753
-1466.57,0.990083,0.418371,4,15,0,1466.92,88.0279,1.53926,0.597004,-0.491277,17.3472
-1471.21,0.916162,0.418371,3,7,0,1471.82,88.959,-1.21234,0.676056,-0.91915,18.9707
-1468.21,0.987079,0.418371,3,7,0,1473.74,88.5265,-0.0703843,0.518301,-0.621664,17.9598
-1469.09,0.971053,0.418371,3,7,0,1471.24,89.6341,4.0315,0.593826,-0.555745,18.6459
-1468.47,0.923624,0.418371,3,7,0,1472.88,88.8588,5.6192,0.584036,-0.626166,18.3513
-1477.1,0.75981,0.418371,3,7,0,1478.26,86.2477,-4.04955,0.457038,-0.729889,18.505
-1470.6,1,0.418371,3,7,0,1479.09,86.4579,0.676019,0.483907,-0.67601,17.6898
-1467.96,0.992843,0.418371,3,7,0,1473.39,87.7951,7.62881,0.560762,-0.383806,17.7961
-1472.53,0.738968,0.418371,2,3,0,1473.14,87.9851,9.37048,0.591507,-0.58664,17.4511
-1470.15,1,0.418371,3,7,0,1473.8,87.4151,-2.85908,0.57443,-0.436474,18.018
-1466.43,0.982667,0.418371,2,3,0,1470.85,87.0903,1.38954,0.585102,-0.443508,18.1584
-1466.8,0.964353,0.418371,3,7,0,1468.58,88.5381,3.88138,0.599363,-0.439102,17.6021
-1467.14,0.963015,0.418371,3,7,0,1469.14,88.7496,2.58991,0.54597,-0.587856,18.3417
-1468.1,0.941428,0.418371,3,7,0,1470.33,88.7296,-1.02029,0.603005,-0.511342,17.7837
-1468.89,0.996012,0.418371,3,7,0,1469.5,88.1155,1.21668,0.66408,-0.826802,18.4084
-1467.82,0.928721,0.418371,3,15,0,1472.85,87.0038,6.34115,0.568426,-0.500311,17.5052
