# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 6
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.470736
# Diagonal elements of inverse mass matrix:
# 0.825175, 5.9366, 0.00365263, 0.0263797, 0.00110173
-1467.24,0.976805,0.470736,3,7,0,1469.75,86.2091,4.4195,0.580361,-0.382561,18.1591
-1466.78,0.953723,0.470736,3,7,0,1468.96,87.6839,2.44176,0.553395,-0.56306,18.606
-1467.27,0.95972,0.470736,3,7,0,1468.67,87.2209,2.94718,0.673042,-0.373482,17.8626
-1467.5,0.995848,0.470736,3,7,0,1468.43,86.7108,0.357504,0.646518,-0.422479,17.8142
-1466.49,0.973677,0.470736,3,7,0,1469.01,87.4719,1.45688,0.562699,-0.543072,18.3478
-1467.86,0.960395,0.470736,3,7,0,1468.64,88.0153,2.51921,0.584986,-0.588602,16.8319
-1466.88,0.921221,0.470736,3,7,0,1471.42,87.6292,5.65724,0.5338,-0.371936,18.2968
-1469.11,0.894829,0.470736,3,7,0,1470.86,86.2266,-0.269933,0.673531,-0.595762,17.7111
-1468.76,0.938848,0.470736,3,7,0,1472.33,87.0684,0.412593,0.54369,-0.345883,17.2855
-1468.2,1,0.470736,3,7,0,1470.23,88.6839,5.33613,0.596193,-0.652056,18.0724
-1467.15,0.987021,0.470736,3,7,0,1470.08,88.6695,4.51876,0.593356,-0.543781,17.6031
-1468.66,0.91588,0.470736,3,7,0,1470.23,87.7149,2.43276,0.532255,-0.332578,19.0996
-1471.22,0.89997,0.470736,3,7,0,1473.16,86.3201,9.82236,0.591197,-0.325578,18.2123
-1469.32,1,0.470736,3,7,0,1473.46,87.566,5.71724,0.514496,-0.343135,19.3421
-1469.44,0.979792,0.470736,3,7,0,1471.09,87.6368,-0.52491,0.635167,-0.549075,16.6616
-1468.95,0.925232,0.470736,3,7,0,1473.15,87.6191,-2.12198,0.554883,-0.698454,18.1412
-1466.33,0.985791,0.470736,3,7,0,1470.71,87.8846,3.05296,0.604629,-0.364732,17.8982
-1466.23,0.968348,0.470736,4,15,0,1468.44,88.112,2.93467,0.583335,-0.431365,18.2086
-1467.61,0.884157,0.470736,2,7,0,1469.79,87.9759,1.65493,0.615106,-0.328594,18.5997
-1467.19,1,0.470736,3,7,0,1468.81,87.8715,5.09287,0.554351,-0.598704,17.6577
-1467.4,1,0.470736,3,7,0,1468.3,87.9726,3.97208,0.518785,-0.379131,17.3074
-1466.08,0.987611,0.470736,2,7,0,1468.05,87.8199,1.71053,0.573627,-0.518118,18.0934
-1466.6,0.936073,0.470736,3,7,0,1468.83,87.4644,5.19874,0.562755,-0.369762,18.3465
-1468.43,0.948426,0.470736,4,15,0,1468.92,88.5689,1.04707,0.653398,-0.699405,18.91
-1467.57,0.977886,0.470736,3,7,0,1470.92,86.2589,1.27918,0.608844,-0.376209,18.0653
-1469.48,0.880904,0.470736,3,7,0,1470.6,85.9591,3.14704,0.618508,-0.662289,17.9831
-1468.78,1,0.470736,3,7,0,1470.37,88.8585,3.10608,0.564893,-0.259597,18.1719
-1468.27,1,0.470736,3,7,0,1470.1,86.9756,1.18733,0.609779,-0.76623,18.0906
-1467.72,0.957726,0.470736,3,7,0,1471.49,88.7566,5.71568,0.569503,-0.385254,18.1686
