# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 0
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.499366
# Diagonal elements of inverse mass matrix:
# 0.822093, 6.03086, 0.00371569, 0.0274362, 0.00110987
-1467.82,0.997708,0.499366,3,7,0,1468.95,88.8092,1.36456,0.669253,-0.484776,18.2666
-1467.63,0.990303,0.499366,3,7,0,1469.49,87.1778,2.60031,0.520362,-0.5585,17.2531
-1468.4,0.979136,0.499366,3,7,0,1469.61,88.993,3.52426,0.667806,-0.433196,17.9239
-1467.45,0.987003,0.499366,3,7,0,1469.99,87.3878,2.26509,0.679322,-0.486528,18.5232
-1466.84,0.892647,0.499366,2,3,0,1469.67,87.9592,1.37612,0.636013,-0.402507,18.2443
-1466.24,0.955282,0.499366,3,7,0,1468.02,87.2822,2.7818,0.558943,-0.494712,17.5714
-1466.69,0.889638,0.499366,3,7,0,1467.99,87.9589,2.4528,0.609058,-0.351194,18.2138
-1466.79,0.987331,0.499366,3,7,0,1467.74,87.2549,1.07477,0.557496,-0.604482,17.7853
-1466.54,0.9796,0.499366,2,7,0,1467.8,88.6196,1.83928,0.599751,-0.560658,17.6997
-1466.26,0.940826,0.499366,3,7,0,1468.77,87.1605,4.24157,0.606941,-0.398366,17.9093
-1468.33,0.870283,0.499366,3,7,0,1469.4,88.5086,6.69111,0.61795,-0.43212,18.0215
-1466.56,0.951929,0.499366,2,7,0,1470.73,88.1601,4.47786,0.584405,-0.424942,17.5407
