# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output10.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.472289
# Diagonal elements of inverse mass matrix:
# 0.831722, 5.73427, 0.00356369, 0.0254507, 0.00121361
-1471.5,0.894039,0.472289,3,7,0,1472.85,88.9169,5.21658,0.589271,-0.87576,18.1701
-1467.7,0.974735,0.472289,3,7,0,1474.57,86.1644,1.49012,0.635096,-0.436055,17.8542
-1467.82,0.982945,0.472289,3,7,0,1470.82,85.9599,3.59462,0.617823,-0.334598,18.0673
-1471.53,0.846623,0.472289,2,3,0,1472.45,84.8305,3.56052,0.545371,-0.208262,18.6251
-1466.4,1,0.472289,3,7,0,1471.91,87.8519,4.189,0.604065,-0.51499,17.5706
-1467.44,0.918493,0.472289,3,7,0,1468.25,88.1151,0.443476,0.59404,-0.394592,18.3843
-1471.61,0.853773,0.472289,2,7,0,1473.25,87.6979,-0.56937,0.565043,-0.485831,19.899
-1469.57,1,0.472289,3,7,0,1472.24,88.18,5.29284,0.618508,-0.545843,16.7288
-1470.21,0.998051,0.472289,3,7,0,1471.59,87.3806,-2.53693,0.578821,-0.58744,19.0829
-1468.67,1,0.472289,3,7,0,1472.38,86.7789,2.28906,0.670127,-0.646459,17.3952
-1467.08,0.840627,0.472289,3,7,0,1476.27,87.8793,3.98608,0.505312,-0.370399,17.8458
-1467.59,0.897125,0.472289,2,7,0,1470.63,86.5013,4.05664,0.63367,-0.480605,17.5173
-1470.68,0.90717,0.472289,3,7,0,1471.78,87.8172,3.807,0.647698,-0.163181,16.9608
-1473.76,0.868155,0.472289,2,3,0,1474.59,87.951,3.62244,0.660026,-0.0235715,17.0886
-1471.98,1,0.472289,3,7,0,1475.14,86.6554,4.60575,0.466793,-0.770456,18
-1472.31,1,0.472289,3,7,0,1474.93,89.4228,-0.843771,0.748051,-0.45094,18.365
-1470.72,0.999502,0.472289,3,7,0,1475.04,87.3285,-3.60285,0.69558,-0.795796,17.9743
-1467.45,0.999563,0.472289,3,7,0,1472.27,88.5171,3.23786,0.58838,-0.503496,17.0664
-1467.34,0.997463,0.472289,3,7,0,1467.99,86.5089,3.96363,0.563919,-0.399336,18.6565
-1467.78,0.978915,0.472289,3,7,0,1469.72,87.0118,5.82801,0.547022,-0.22055,17.4617
-1469.84,0.910401,0.472289,3,7,0,1471.66,87.0699,9.23503,0.517387,-0.23914,18.5943
-1466.94,1,0.472289,3,15,0,1470.2,87.816,0.429473,0.580191,-0.544264,17.3457
-1467.15,0.997998,0.472289,3,7,0,1467.57,87.4628,3.52194,0.628699,-0.507393,18.7699
-1467.37,0.947292,0.472289,3,7,0,1469.28,87.0638,5.0498,0.558252,-0.500793,17.2507
-1468.15,0.954244,0.472289,3,7,0,1469.59,88.8988,3.4963,0.646283,-0.367642,17.9101
-1467.92,0.974299,0.472289,3,7,0,1470.93,88.5576,2.31039,0.551498,-0.466309,18.9227
