# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_00_model
# start_datetime = 2023-03-29 00:38:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.data.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.output10.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma
# Adaptation terminated
# Step size = 0.0798111
# Diagonal elements of inverse mass matrix:
# 0.584165, 0.00367392, 0.0858633, 0.0842288, 0.0853608, 0.105168, 0.011457, 0.0290047, 0.00751826, 0.0010305
-510.753,0.988084,0.0798111,6,63,0,515.576,0.141666,0.817554,-0.872508,-0.279422,-0.553428,-0.242076,0.366784,0.0361073,0.0910912,1.73691
-509.758,0.916153,0.0798111,6,63,0,514.539,0.945841,0.745436,-1.0794,-0.465463,-0.671372,-0.279623,0.170599,-0.150456,0.344876,1.82287
-519.055,0.869307,0.0798111,5,31,0,521.62,0.57101,0.813059,-0.233718,0.0109093,-0.283936,-0.16393,0.03332,-0.509593,0.262287,1.84794
-516.559,0.997556,0.0798111,5,31,0,524.986,1.20815,0.865793,-0.950945,-0.00305744,-0.175619,-0.158478,0.0624652,-0.41947,0.170169,1.90536
-513.484,0.854068,0.0798111,5,31,0,521.191,0.415273,0.77932,-0.612818,-0.0802683,-0.524194,-0.190195,0.176327,-0.263979,0.289748,1.91327
-515.588,0.888133,0.0798111,5,31,0,520.011,0.642319,0.732364,-0.576415,-0.151595,-0.392019,0.0628284,0.0765544,-0.200186,0.338646,1.91316
-516.441,0.999432,0.0798111,5,31,0,521.899,0.346926,0.790422,-0.466526,0.150941,-0.243868,0.198542,0.111105,-0.409248,0.289593,1.88447
-515.499,0.99947,0.0798111,6,63,0,521.383,-0.0954286,0.850105,-0.905264,-0.162731,-0.203781,-0.054577,0.264052,-0.115917,0.258446,1.97478
-517.463,0.876425,0.0798111,5,63,0,524.403,0.452926,0.780718,-0.516889,-0.289387,-0.554449,-0.0751757,0.286615,-0.402273,0.233904,1.98122
-513.391,0.99731,0.0798111,5,63,0,520.996,1.47509,0.721131,-1.1597,-0.0487589,-0.374197,-0.297801,0.259702,-0.493933,0.203324,1.86077
-512.682,0.996507,0.0798111,6,63,0,518.751,0.740405,0.740227,-0.638907,-0.234143,-0.841293,-0.220483,0.143009,-0.130138,0.273637,1.71784
-511.112,0.798838,0.0798111,5,31,0,516.23,0.62277,0.741443,-0.65273,-0.366438,-0.677603,-0.424024,0.209006,-0.257427,0.329389,1.73451
-510.771,0.997213,0.0798111,6,63,0,514.143,0.497389,0.756017,-0.660251,-0.345951,-0.649891,-0.406033,0.215153,-0.280542,0.322498,1.72468
-510.964,0.819906,0.0798111,5,63,0,515.812,-0.0200897,0.774694,-0.821067,-0.0968896,-0.293165,-0.100245,0.173592,0.05831,0.280467,1.79185
-515.806,0.930535,0.0798111,5,31,0,517.442,0.220095,0.781455,-0.838169,0.242317,0.0508539,0.307594,0.0663957,-0.0219481,0.231282,1.82483
-510.439,0.996208,0.0798111,5,63,0,520.09,0.820922,0.841009,-1.23719,-0.335526,-0.723818,-0.380947,0.121387,-0.147591,0.35265,1.77527
-511.37,0.99457,0.0798111,6,63,0,516.164,-0.059068,0.78531,-0.845405,-0.391892,-0.467322,-0.351809,0.419735,0.0922912,0.124905,1.82735
-510.477,0.904412,0.0798111,5,31,0,516.115,0.197695,0.829037,-0.992197,-0.171199,-0.269918,0.0690215,0.283061,-0.141538,0.238486,1.76489
-510.765,0.95167,0.0798111,6,63,0,513.287,0.618174,0.744283,-0.776854,-0.216458,-0.63759,-0.469725,0.270583,-0.0945517,0.193967,1.68665
-512.044,0.994592,0.0798111,5,63,0,514.951,0.542184,0.807313,-1.14876,-0.591891,-0.598853,-0.153662,0.208688,-0.12694,0.354993,1.70043
-513.658,0.932225,0.0798111,5,31,0,516.438,0.227855,0.835896,-0.728162,-0.424219,-0.919563,-0.850514,0.133565,0.173225,0.229107,1.74889
-511.521,0.984946,0.0798111,5,31,0,515.466,0.428362,0.829005,-0.972651,-0.479742,-1.00093,-0.76956,0.191554,0.184351,0.254736,1.76307
-513.38,0.999243,0.0798111,5,63,0,517.755,-0.212338,0.753223,-0.722014,-0.62253,-0.58057,-0.400569,0.467084,0.11511,0.164767,1.76321
-517.186,0.990216,0.0798111,5,31,0,521.562,-0.623962,0.806465,-1.19616,-0.4217,-0.668914,-0.82393,0.552453,0.195609,0.266551,1.77609
-518.311,0.950173,0.0798111,5,31,0,525.868,0.378953,0.770383,-1.57081,-0.710812,-1.04453,-0.29382,0.504815,0.248678,0.233755,1.88887
-509.464,0.974691,0.0798111,5,31,0,521.793,0.892588,0.806614,-1.39933,-0.377422,-0.605706,-0.335499,0.276053,-0.0354493,0.237926,1.75094
-510.534,0.911659,0.0798111,5,63,0,514.733,0.525383,0.770738,-1.05962,-0.00847594,-0.410643,0.12728,0.190676,-0.0675,0.283007,1.74301
-514.52,0.991723,0.0798111,5,31,0,515.893,0.0829408,0.763105,-1.21235,0.0755143,-0.136826,0.393366,0.170819,0.0336665,0.377053,1.81418
-513.581,0.923382,0.0798111,5,31,0,518.054,0.108088,0.789143,-1.0611,0.0513502,-0.0551462,0.148846,0.176045,-0.0751271,0.361654,1.85213
-517.374,0.885945,0.0798111,6,63,0,522.867,0.173767,0.831197,-0.819025,0.044074,-0.53341,-0.237564,0.428951,-0.0352652,4.13914e-05,1.92135
-513.526,0.960049,0.0798111,5,63,0,527.263,-0.401999,0.876618,-0.877622,0.0464646,-0.324223,0.0034848,0.340455,-0.0157078,0.174695,1.90892
-510.901,0.995654,0.0798111,6,63,0,517.324,1.77168,0.732323,-1.1168,-0.930627,-1.08755,-0.709601,0.21753,-0.265432,0.258559,1.74681
-509.929,1,0.0798111,6,63,0,512.626,0.718682,0.853964,-1.20102,-0.711499,-0.826333,-0.438607,0.201707,0.0326134,0.24322,1.80816
-515.099,0.862506,0.0798111,5,31,0,517.785,-0.0700257,0.643436,-0.866355,-0.120179,-0.52574,-0.285844,0.386976,0.175003,0.278979,1.79162
-510.612,0.987615,0.0798111,5,31,0,517.938,0.647723,0.739438,-0.83841,-0.421372,-0.574454,-0.114762,0.292932,-0.0713907,0.159808,1.82144
-512.095,0.892767,0.0798111,5,31,0,516.603,0.758682,0.755189,-1.03762,-0.00404183,-0.115528,-0.200452,0.324663,-0.222995,0.158904,1.85161
-510.651,0.992229,0.0798111,5,31,0,513.414,0.610904,0.755986,-0.778723,-0.249578,-0.603116,-0.0684614,0.334915,-0.217426,0.160302,1.82142
-511.279,0.990425,0.0798111,5,63,0,513.653,1.08043,0.700046,-0.912811,-0.255754,-0.583383,-0.583647,0.340961,-0.267237,0.18051,1.82533
-510.165,0.999941,0.0798111,5,31,0,513.106,0.768911,0.824762,-1.04013,-0.221044,-0.437516,-0.0527577,0.201802,-0.216577,0.192236,1.82043
-511.459,0.924028,0.0798111,5,63,0,513.31,0.737159,0.832883,-1.02404,-0.36693,-0.524764,0.0494065,0.256922,-0.160365,0.153815,1.81772
-514.689,0.964443,0.0798111,5,31,0,517.59,0.305013,0.699988,-1.23077,-0.0252822,-0.440644,-0.149592,0.314161,0.0601764,0.347202,1.90174
-512.001,0.998582,0.0798111,5,31,0,516.492,0.459235,0.724667,-0.910842,-0.322735,-0.472588,0.0147249,0.306466,0.0623852,0.152144,1.83812
-512.463,0.951839,0.0798111,5,63,0,521.82,0.648367,0.709888,-0.967549,-0.317899,-0.435752,-0.0579745,0.265427,0.11272,0.14589,1.83307
-510.146,0.943914,0.0798111,6,63,0,514.701,0.866558,0.752655,-0.855307,-0.632502,-0.974285,-0.933726,0.294259,-0.0813457,0.206591,1.77761
-511.079,0.969279,0.0798111,5,31,0,513.95,0.86732,0.741595,-0.818727,-0.52383,-0.71765,-0.607951,0.281457,0.00627618,0.1332,1.82852
-510.73,0.998711,0.0798111,5,31,0,513.891,1.6615,0.774214,-1.44262,-0.568291,-0.915906,-0.733791,0.289072,-0.310621,0.246136,1.72772
-510.523,0.999082,0.0798111,5,31,0,512.362,1.76765,0.787624,-1.01878,-0.729801,-0.937098,-0.75733,0.0869904,-0.228119,0.218145,1.74213
-514.626,0.787997,0.0798111,5,31,0,518.291,1.921,0.742262,-1.47875,-0.975446,-1.33404,-1.43825,0.331764,-0.187129,0.198165,1.79076
-515.469,0.841366,0.0798111,6,63,0,521.271,1.6427,0.771294,-1.3027,-1.07401,-1.60829,-1.28815,0.374319,-0.208451,0.180947,1.79915
-512.469,0.991455,0.0798111,6,63,0,522.753,1.07433,0.716869,-1.21805,-0.140824,-0.373324,0.0758089,0.0970591,-0.0113325,0.324194,1.84875
-514.464,0.770839,0.0798111,6,63,0,518.314,0.986974,0.832723,-1.31722,-0.970777,-1.02482,-0.750185,0.402389,-0.199257,0.158463,1.71301
-515.292,0.997864,0.0798111,6,63,0,517.64,1.06742,0.716241,-1.25507,-0.0644813,-0.651051,0.154564,0.153232,-0.0692773,0.364613,1.82445
-512.913,0.998852,0.0798111,5,63,0,524.189,1.11113,0.692258,-0.891087,-0.156749,-0.722707,-0.00328589,0.195237,-0.279998,0.31065,1.74933
-513.125,0.827682,0.0798111,5,31,0,517.263,1.02238,0.681089,-0.919476,-0.158129,-0.625382,0.0768199,0.215376,-0.324819,0.309176,1.74792
-513.293,0.999192,0.0798111,6,63,0,517.798,0.358682,0.732715,-0.473135,-0.260056,-0.475791,-0.139205,0.178521,-0.238788,0.286517,1.68787
-514.491,0.997149,0.0798111,6,63,0,517.623,0.626081,0.835884,-1.40645,-0.098824,-0.642476,-0.189443,0.273451,0.0100694,0.181522,1.93494
-513.758,0.999158,0.0798111,5,63,0,518.928,0.732015,0.930707,-1.32333,-0.628395,-0.585534,-0.565447,0.135129,-0.103652,0.279419,1.85691
