# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_00_model
# start_datetime = 2023-03-29 00:38:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.data.json
# init = 2 (Default)
# random
#   seed = 4
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.output4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma
# Adaptation terminated
# Step size = 0.0587252
# Diagonal elements of inverse mass matrix:
# 0.585604, 0.00365375, 0.0842353, 0.0848478, 0.0886368, 0.107135, 0.0115955, 0.0300919, 0.00769992, 0.00109933
-513.478,0.8229,0.0587252,6,63,0,516.318,-0.0501297,0.836393,-1.02362,-0.53938,-0.858568,-0.564844,0.362655,0.0634982,0.184345,1.77461
-515.835,0.945178,0.0587252,6,63,0,519.127,0.876329,0.685755,-0.894197,-0.0566282,-0.376911,-0.122384,0.160336,-0.13236,0.2036,1.78819
-510.045,0.998966,0.0587252,6,127,0,518.56,1.24062,0.711594,-1.01813,-0.465651,-0.661029,-0.254388,0.286681,-0.20311,0.175454,1.82005
-512.45,0.933554,0.0587252,6,63,0,514.362,1.23636,0.782743,-1.41794,0.0233443,-0.225985,-0.421975,0.200489,-0.183364,0.165614,1.75903
-514.019,0.975424,0.0587252,6,127,0,517.694,1.64003,0.725592,-1.14945,-0.642769,-0.959206,-0.221661,0.268261,-0.287739,0.221302,1.89883
-512.189,0.958708,0.0587252,6,63,0,517.281,0.717465,0.853976,-1.10832,-0.355589,-0.782166,-0.974667,0.322624,-0.123588,0.137881,1.7327
-516.92,0.994415,0.0587252,5,63,0,520.095,1.12269,0.886082,-0.988336,-0.595546,-0.515344,-0.232478,0.204598,-0.387874,0.138622,1.66355
-515.573,0.968461,0.0587252,5,31,0,519.727,1.17879,0.870763,-0.989064,-0.54133,-0.570717,-0.214868,0.220779,-0.406667,0.140656,1.66903
-517.484,0.944525,0.0587252,6,63,0,523.312,1.53156,0.61513,-1.27378,-0.349264,-0.605815,-0.556366,0.146093,0.0437563,0.322685,1.95586
-517.966,0.973728,0.0587252,6,95,0,521.236,1.4515,0.617546,-1.23016,-0.328613,-0.532575,-0.558498,0.149897,0.0459484,0.297348,1.96217
-512.89,0.942554,0.0587252,6,63,0,522.481,0.398477,0.81891,-0.845788,-0.107276,-0.553276,0.0438687,0.265463,-0.246912,0.256637,1.7243
-513.419,0.999931,0.0587252,6,127,0,517.176,0.75151,0.806657,-1.11045,-0.630948,-1.05109,-1.23568,0.223612,0.0968651,0.284389,1.85849
-510.993,0.966171,0.0587252,5,63,0,515.539,0.91431,0.817194,-1.0636,-0.711951,-0.812939,-0.228492,0.194523,-0.110939,0.267936,1.82408
-512.277,0.996632,0.0587252,5,63,0,516.948,1.1731,0.765799,-0.614347,-0.474889,-0.788496,-0.735704,0.256573,-0.330902,0.12626,1.81819
-512.643,0.996631,0.0587252,6,63,0,515.99,0.250709,0.835005,-1.33829,-0.0509873,-0.211739,0.236786,0.328531,-0.0235937,0.202345,1.74334
-513.309,0.999552,0.0587252,6,63,0,517.105,-0.211238,0.807354,-0.351015,-0.376924,-0.817255,-0.721461,0.304978,-0.0900274,0.202297,1.75117
-516.03,0.903048,0.0587252,6,63,0,524.082,0.20133,0.860464,-1.67411,0.0469299,-0.391456,0.0774147,0.38747,0.113502,0.15306,1.81929
-510.121,0.998344,0.0587252,5,31,0,516.926,0.291675,0.771028,-0.886438,-0.270311,-0.330731,-0.219015,0.22725,0.0028753,0.225726,1.82831
