# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_00_model
# start_datetime = 2023-03-29 00:38:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.data.json
# init = 2 (Default)
# random
#   seed = 6
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_00/PDB_00.output6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma
# Adaptation terminated
# Step size = 0.0635766
# Diagonal elements of inverse mass matrix:
# 0.566177, 0.00371854, 0.0854367, 0.0841782, 0.0870699, 0.106779, 0.0115992, 0.0291375, 0.00750978, 0.00107103
-510.474,0.993844,0.0635766,6,63,0,514.346,0.34696,0.818523,-0.978355,-0.257355,-0.619558,-0.616838,0.245694,-0.137709,0.305409,1.71642
-511.469,0.982458,0.0635766,5,63,0,514.547,-0.198779,0.788358,-0.703364,-0.415734,-0.611083,0.0291229,0.339132,0.0279619,0.212766,1.72334
-510.165,0.963818,0.0635766,5,31,0,516.458,0.0992902,0.747973,-0.926097,-0.228355,-0.496493,-0.218038,0.366817,-0.0740022,0.288239,1.75992
-514.568,0.997449,0.0635766,6,63,0,516.119,0.915482,0.811727,-0.735142,-0.31897,-0.586332,-0.258812,-0.0283515,-0.247437,0.331624,1.87678
-514.441,0.962275,0.0635766,5,63,0,518.93,1.47453,0.811063,-0.834557,-0.319551,-0.652423,-0.192229,-0.00702981,-0.239266,0.229994,1.80886
-508.494,0.906114,0.0635766,5,63,0,517.623,0.678226,0.750453,-0.965101,-0.285184,-0.535393,-0.248636,0.266238,-0.138405,0.227854,1.79337
-511.838,0.9868,0.0635766,5,63,0,512.945,0.407064,0.806302,-0.816474,-0.244689,-0.55829,-0.173225,0.259744,-0.270473,0.245475,1.90621
-514.55,0.99743,0.0635766,5,31,0,516.373,0.657551,0.796802,-0.969117,-0.384312,-0.52918,-0.275588,0.276059,-0.460238,0.353766,1.88564
